Level	Date and Time	Source	Event ID	Task Category
Information	24-11-2025 13:29:58	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Lid."
Information	24-11-2025 13:29:58	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 12 to 13.

Reason PolicyChange 

BootId: 608"
Warning	24-11-2025 13:29:58	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning	24-11-2025 13:29:58	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information	24-11-2025 13:29:13	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 11 to 12.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:29:13	Microsoft-Windows-Kernel-Power	507	(158)	"The system is exiting Modern Standby 

Reason: Lid."
Information	24-11-2025 13:29:13	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Connected, Reason: None
Warning	24-11-2025 13:29:13	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning	24-11-2025 13:29:13	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information	24-11-2025 13:28:13	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby
Information	24-11-2025 13:28:06	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 10 to 11.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:28:06	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Lid."
Information	24-11-2025 13:28:06	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 9 to 10.

Reason PolicyChange 

BootId: 608"
Warning	24-11-2025 13:28:06	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning	24-11-2025 13:28:06	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information	24-11-2025 13:28:00	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 8 to 9.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:28:00	Microsoft-Windows-Kernel-Power	507	(158)	"The system is exiting Modern Standby 

Reason: Lid."
Information	24-11-2025 13:28:00	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Connected, Reason: None
Warning	24-11-2025 13:28:00	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning	24-11-2025 13:28:00	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information	24-11-2025 13:26:23	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby
Information	24-11-2025 13:26:15	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 7 to 8.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:26:15	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Lid."
Information	24-11-2025 13:26:15	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 6 to 7.

Reason PolicyChange 

BootId: 608"
Warning	24-11-2025 13:26:15	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning	24-11-2025 13:26:15	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information	24-11-2025 13:26:13	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:26:08	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:26:01	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:26:00	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:56	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 5 to 6.

Reason InputAccelerometer 

BootId: 608"
Information	24-11-2025 13:25:56	Microsoft-Windows-Kernel-Power	507	(158)	"The system is exiting Modern Standby 

Reason: Input Keyboard."
Information	24-11-2025 13:25:56	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Connected, Reason: None
Information	24-11-2025 13:25:40	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby
Information	24-11-2025 13:25:34	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 4 to 5.

Reason SessionUnlock 

BootId: 608"
Information	24-11-2025 13:25:31	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:30	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:30	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:26	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:26	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:25	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:25	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:21	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:15	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Idle Timeout."
Information	24-11-2025 13:25:15	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 3 to 4.

Reason SessionUnlock 

BootId: 608"
Information	24-11-2025 13:25:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:10	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:25:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:22:11	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 2 to 3.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:22:11	Microsoft-Windows-Kernel-Power	507	(158)	"The system is exiting Modern Standby 

Reason: Lid."
Information	24-11-2025 13:22:10	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Connected, Reason: None
Warning	24-11-2025 13:22:10	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning	24-11-2025 13:22:10	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information	24-11-2025 13:21:49	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby
Information	24-11-2025 13:21:47	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information	24-11-2025 13:21:43	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 1 to 2.

Reason PolicyChange 

BootId: 608"
Information	24-11-2025 13:21:43	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Lid."
Information	24-11-2025 13:21:43	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 0 to 1.

Reason PolicyChange 

BootId: 608"
Warning	24-11-2025 13:21:43	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning	24-11-2025 13:21:43	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning	24-11-2025 13:21:15	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Saiganesh\gunis SID (S-1-5-21-2782663264-3991100608-3008750438-1001) from address LocalHost (Using LRPC) running in the application container OpenAI.ChatGPT-Desktop_1.2025.258.0_x64__2p2nqsd0c76g0 SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning	24-11-2025 13:18:46	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name ims-prod06.adobelogin.com timed out after none of the configured DNS servers responded. Client PID 25788.
Warning	24-11-2025 13:18:41	Netwtw14	6062	None	6062 - Lso was triggered
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

No mount entry found.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = \DosDevices\C:\ShareHub\moto g85 5G.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Ignoring keepalive close because unmount is already in progress.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

No mount entry found.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = \DosDevices\C:\ShareHub\moto g85 5G.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finished event release.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finished deleting device.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Deleting volume device object.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mount entry found: \DosDevices\C:\ShareHub\moto g85 5G -> \Device\Volume{d6cc17c5-1734-4085-bce

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Found entry with matching device name: \Device\Volume{d6cc17c5-1734-4085-bce7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = .

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Removing mount entry.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mount entry found: \DosDevices\C:\ShareHub\moto g85 5G -> \Device\Volume{d6cc17c5-1734-4085-bce

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Found entry with matching device name: \Device\Volume{d6cc17c5-1734-4085-bce7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = .

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Deleting device object.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Cleaning up all change notification waiters.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

stopFcbGarbageCollector.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Stopping FCB garbage collector.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Starting unmount for device ""\Device\Volume{d6cc17c5-1734-4085-bce7-964f1e9f5de9}""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mount manager is disabled for this device or dokan initiated deletion; ignoring.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Link deleted: ""\??\Volume{4b881275-c908-11f0-b8ee-a529585dd75b}""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Entered event release.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mount entry found: \DosDevices\C:\ShareHub\moto g85 5G -> \Device\Volume{d6cc17c5-1734-4085-bce

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Found entry with matching mount point.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:17:35	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = \DosDevices\C:\ShareHub\moto g85 5G.

The message resource is present but the message was not found in the message table
"
Warning	24-11-2025 13:16:46	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name inference.location.live.net timed out after none of the configured DNS servers responded. Client PID 10108.
Warning	24-11-2025 13:16:36	Netwtw14	6062	None	6062 - Lso was triggered
Information	24-11-2025 13:16:28	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:25	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:25	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:19	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:16:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	24-11-2025 13:13:44	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\gunis\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information	24-11-2025 13:13:43	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\S-1-5-21-2782663264-3991100608-3008750438-1001\SystemAppData\Helium\Cache\73701833180b0978_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information	24-11-2025 13:13:43	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\gunis\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 5 keys and creating 2 modified pages.
Information	24-11-2025 13:13:43	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\gunis\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 10 keys and creating 1 modified pages.
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Opened file with user mode dispatch blocked: ""\drive_fs_notification""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Activating keepalive handle from process 3304.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Opened keepalive file from process 3304.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Opened file with user mode dispatch blocked: ""\__drive_fs_keepalive""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finished event start with status 1 and flags: 0

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Handle created before IOCTL_EVENT_WAIT for file ""\$Extend\$Reparse:$R:$INDEX_ALLOCATION""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

7-964f1e9f5de9}

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mount entry found: \DosDevices\C:\ShareHub\moto g85 5G -> \Device\Volume{d6cc17c5-1734-4085-bce

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Found entry with matching mount point.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Finding mount entry; mount point = \DosDevices\C:\ShareHub\moto g85 5G.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Mounting successfully done.

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Link created: ""\??\Volume{4b881275-c908-11f0-b8ee-a529585dd75b}""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

 5G""

The message resource is present but the message was not found in the message table
"
Information	24-11-2025 13:12:40	RFDriveFs2	1	None	"The description for Event ID 1 from source RFDriveFs2 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Not suggesting link name due to non-drive-letter mount point: ""\DosDevices\C:\ShareHub\moto g85

The message resource is present but the message was not found in the message table
"
